n_rl_m,chi_rl_rad,s_ref_rl_m,theta_ref_rl_rad,mu_ref_rl_rad,phi_ref_rl_rad,dtheta_ref_rl_radpm,dmu_ref_rl_radpm,dphi_ref_rl_radpm
0.000922,0.000054,156.977218,0.122215,-0.002302,-0.017251,0.000092,-0.000065,-0.000022
0.000974,0.00005,157.977073,0.122307,-0.002368,-0.017273,0.000091,-0.000066,-0.000022
0.001021,0.000045,158.976927,0.122398,-0.002435,-0.017295,0.000091,-0.000068,-0.000022
0.001063,0.00004,159.976782,0.122489,-0.002504,-0.017317,0.000091,-0.00007,-0.000022
0.001102,0.000036,160.976637,0.122579,-0.002575,-0.017339,0.00009,-0.000072,-0.000022
0.001136,0.000032,161.976492,0.12267,-0.002648,-0.017362,0.00009,-0.000074,-0.000023
0.001165,0.000028,162.976347,0.12276,-0.002724,-0.017384,0.00009,-0.000077,-0.000023
0.001192,0.000024,163.976202,0.12285,-0.002802,-0.017407,0.00009,-0.000079,-0.000023
0.001214,0.000021,164.976057,0.12294,-0.002882,-0.017431,0.00009,-0.000081,-0.000023
0.001233,0.000017,165.975912,0.123031,-0.002965,-0.017454,0.00009,-0.000083,-0.000024
0.001249,0.000014,166.975767,0.123121,-0.003049,-0.017478,0.000091,-0.000085,-0.000024
0.001261,0.000011,167.975621,0.123212,-0.003134,-0.017502,0.000091,-0.000085,-0.000024
0.001271,0.000008,168.975476,0.123304,-0.003219,-0.017526,0.000092,-0.000085,-0.000024
0.001277,0.000005,169.975331,0.123396,-0.003303,-0.01755,0.000092,-0.000083,-0.000024
0.001281,0.000003,170.975186,0.123489,-0.003385,-0.017573,0.000093,-0.00008,-0.000024
0.001282,0,171.975041,0.123582,-0.003462,-0.017597,0.000094,-0.000074,-0.000023
0.001281,-0.000003,172.974896,0.123677,-0.003533,-0.01762,0.000095,-0.000067,-0.000023
0.001277,-0.000005,173.974751,0.123773,-0.003596,-0.017642,0.000097,-0.000059,-0.000022
0.001271,-0.000008,174.974606,0.123871,-0.003651,-0.017663,0.000099,-0.000051,-0.000021
0.001261,-0.000011,175.974461,0.12397,-0.003699,-0.017683,0.0001,-0.000044,-0.000019
0.00125,-0.000013,176.974315,0.124072,-0.00374,-0.017701,0.000103,-0.000038,-0.000017
0.001235,-0.000016,177.97417,0.124176,-0.003776,-0.017718,0.000105,-0.000035,-0.000016
0.001217,-0.000019,178.974025,0.124282,-0.003811,-0.017733,0.000108,-0.000034,-0.000014
0.001197,-0.000022,179.97388,0.124391,-0.003845,-0.017746,0.000111,-0.000036,-0.000012
0.001173,-0.000024,180.973735,0.124504,-0.003883,-0.017757,0.000114,-0.00004,-0.00001
0.001148,-0.000027,181.97359,0.124621,-0.003926,-0.017766,0.000118,-0.000046,-0.000009
0.00112,-0.000029,182.973445,0.124741,-0.003974,-0.017774,0.000123,-0.000052,-0.000007
0.00109,-0.000031,183.9733,0.124866,-0.00403,-0.017781,0.000128,-0.000059,-0.000006
0.001057,-0.000033,184.973155,0.124996,-0.004091,-0.017787,0.000133,-0.000064,-0.000005
0.001023,-0.000035,185.973009,0.125132,-0.004157,-0.017792,0.000139,-0.000068,-0.000005
0.000986,-0.000037,186.972864,0.125274,-0.004226,-0.017797,0.000145,-0.00007,-0.000004
0.000948,-0.000039,187.972719,0.125422,-0.004295,-0.017801,0.000152,-0.00007,-0.000004
0.000907,-0.000041,188.972574,0.125578,-0.004364,-0.017805,0.00016,-0.000068,-0.000004
0.000865,-0.000043,189.972429,0.125742,-0.004431,-0.017808,0.000168,-0.000065,-0.000003
0.000821,-0.000045,190.972284,0.125915,-0.004494,-0.017812,0.000177,-0.000062,-0.000003
0.000774,-0.000047,191.972139,0.126097,-0.004554,-0.017815,0.000187,-0.000057,-0.000003
0.000726,-0.000049,192.971994,0.12629,-0.004609,-0.017818,0.000198,-0.000053,-0.000003
0.000676,-0.000051,193.971849,0.126495,-0.00466,-0.01782,0.00021,-0.000049,-0.000002
0.000625,-0.000052,194.971703,0.126712,-0.004706,-0.017822,0.000224,-0.000044,-0.000002
0.000572,-0.000054,195.971558,0.126942,-0.004749,-0.017824,0.000238,-0.000041,-0.000001
0.000518,-0.000055,196.971413,0.127188,-0.004788,-0.017824,0.000253,-0.000037,-0.000001
0.000463,-0.000055,197.971268,0.12745,-0.004823,-0.017825,0.000271,-0.000034,0
0.000408,-0.000055,198.971123,0.12773,-0.004856,-0.017824,0.000289,-0.000032,0.000001
0.000352,-0.000055,199.970978,0.128029,-0.004886,-0.017823,0.00031,-0.000029,0.000002
0.000298,-0.000054,200.970833,0.12835,-0.004915,-0.017821,0.000332,-0.000027,0.000002
0.000244,-0.000053,201.970688,0.128694,-0.004941,-0.017818,0.000356,-0.000026,0.000003
0.000192,-0.000051,202.970543,0.129063,-0.004966,-0.017814,0.000383,-0.000024,0.000004
0.000143,-0.000048,203.970397,0.12946,-0.004989,-0.01781,0.000412,-0.000022,0.000005
0.000096,-0.000045,204.970252,0.129888,-0.005011,-0.017804,0.000444,-0.000021,0.000006
0.000052,-0.000042,205.970107,0.130349,-0.005031,-0.017797,0.000478,-0.000019,0.000007
0.000012,-0.000039,206.969962,0.130846,-0.005049,-0.01779,0.000516,-0.000018,0.000008
-0.000025,-0.000035,207.969817,0.131383,-0.005066,-0.017781,0.000558,-0.000016,0.000009
-0.000058,-0.000031,208.969672,0.131963,-0.005081,-0.017772,0.000603,-0.000014,0.00001
-0.000087,-0.000028,209.969527,0.132591,-0.005094,-0.017762,0.000652,-0.000012,0.000011
-0.000113,-0.000024,210.969382,0.13327,-0.005106,-0.017751,0.000706,-0.00001,0.000012
-0.000136,-0.000022,211.969237,0.134005,-0.005115,-0.017739,0.000765,-0.000008,0.000012
-0.000157,-0.00002,212.969091,0.134802,-0.005123,-0.017726,0.000829,-0.000006,0.000013
-0.000176,-0.000019,213.968946,0.135665,-0.005128,-0.017712,0.000898,-0.000004,0.000014
-0.000195,-0.000018,214.968801,0.1366,-0.005131,-0.017698,0.000973,-0.000002,0.000015
-0.000213,-0.000019,215.968656,0.137613,-0.005132,-0.017683,0.001054,0,0.000015
-0.000233,-0.000021,216.968511,0.138711,-0.005131,-0.017668,0.001142,0.000002,0.000016
-0.000256,-0.000024,217.968366,0.139901,-0.005128,-0.017652,0.001237,0.000004,0.000017
-0.000281,-0.000027,218.968221,0.141188,-0.005123,-0.017635,0.001339,0.000007,0.000017
-0.00031,-0.000031,219.968076,0.142582,-0.005115,-0.017617,0.001449,0.000009,0.000018
-0.000343,-0.000034,220.967931,0.144089,-0.005105,-0.017599,0.001566,0.000011,0.000018
-0.000379,-0.000038,221.967785,0.145718,-0.005092,-0.017581,0.001692,0.000014,0.000019
-0.000419,-0.000041,222.96764,0.147478,-0.005077,-0.017562,0.001827,0.000016,0.000019
-0.000461,-0.000043,223.967495,0.149376,-0.005059,-0.017543,0.00197,0.000019,0.000019
-0.000506,-0.000046,224.96735,0.151422,-0.005039,-0.017523,0.002123,0.000022,0.00002
-0.000552,-0.000047,225.967205,0.153626,-0.005016,-0.017503,0.002285,0.000025,0.00002
-0.0006,-0.000048,226.96706,0.155996,-0.00499,-0.017483,0.002456,0.000027,0.00002
-0.000649,-0.000049,227.966915,0.158542,-0.004961,-0.017463,0.002638,0.000031,0.000021
-0.000698,-0.00005,228.96677,0.161275,-0.004929,-0.017442,0.002829,0.000034,0.000021
-0.000748,-0.00005,229.966625,0.164204,-0.004893,-0.017421,0.003031,0.000037,0.000021
-0.000799,-0.000051,230.966479,0.167341,-0.004854,-0.0174,0.003243,0.000041,0.000021
-0.00085,-0.000052,231.966334,0.170694,-0.004811,-0.017379,0.003465,0.000045,0.000021
-0.000902,-0.000053,232.966189,0.174276,-0.004765,-0.017358,0.003699,0.000048,0.000021
-0.000956,-0.000055,233.966044,0.178096,-0.004715,-0.017336,0.003942,0.000052,0.000022
-0.001012,-0.000057,234.965899,0.182165,-0.00466,-0.017314,0.004197,0.000056,0.000022
-0.001071,-0.000061,235.965754,0.186494,-0.004603,-0.017292,0.004463,0.00006,0.000022
-0.001134,-0.000066,236.965609,0.191094,-0.004541,-0.01727,0.004739,0.000063,0.000022
-0.001203,-0.000072,237.965464,0.195977,-0.004476,-0.017247,0.005026,0.000067,0.000023
-0.00128,-0.00008,238.965319,0.201151,-0.004407,-0.017224,0.005324,0.00007,0.000023
-0.001365,-0.000091,239.965173,0.206628,-0.004336,-0.0172,0.005632,0.000073,0.000024
-0.001461,-0.000103,240.965028,0.212419,-0.004262,-0.017176,0.005951,0.000075,0.000025
-0.001572,-0.000118,241.964883,0.218533,-0.004185,-0.01715,0.006279,0.000078,0.000026
-0.001698,-0.000135,242.964738,0.224979,-0.004107,-0.017123,0.006617,0.00008,0.000028
-0.001842,-0.000154,243.964593,0.231769,-0.004026,-0.017095,0.006964,0.000081,0.000029
-0.002005,-0.000174,244.964448,0.238909,-0.003944,-0.017064,0.007319,0.000083,0.000031
-0.00219,-0.000195,245.964303,0.246408,-0.00386,-0.017032,0.007682,0.000085,0.000033
-0.002395,-0.000217,246.964158,0.254275,-0.003774,-0.016998,0.008053,0.000087,0.000035
-0.002624,-0.00024,247.964013,0.262515,-0.003686,-0.016962,0.008429,0.00009,0.000037
-0.002875,-0.000263,248.963867,0.271134,-0.003594,-0.016924,0.008811,0.000093,0.000039
-0.00315,-0.000286,249.963722,0.280137,-0.0035,-0.016884,0.009198,0.000097,0.000041
-0.003447,-0.000309,250.963577,0.289528,-0.003401,-0.016842,0.009587,0.000101,0.000043
-0.003767,-0.000331,251.963432,0.29931,-0.003297,-0.016799,0.009979,0.000107,0.000044
-0.004108,-0.000351,252.963287,0.309484,-0.003187,-0.016754,0.010371,0.000113,0.000045
-0.004467,-0.000368,253.963142,0.320049,-0.003071,-0.016709,0.010763,0.000119,0.000046
-0.004843,-0.000383,254.962997,0.331005,-0.002949,-0.016663,0.011153,0.000125,0.000046
-0.005232,-0.000394,255.962852,0.34235,-0.002821,-0.016618,0.011539,0.000131,0.000045
-0.00563,-0.000401,256.962707,0.354078,-0.002687,-0.016573,0.01192,0.000137,0.000044
